,player,nation,pos,club,league,age,full_90,drib_goal,foul_goal,y_card,r_card,fouls_d,offside,crosses,intercept,air_won,pass_comp,touch_3rd,succ_drib,sot/90,assists,np_goals
0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21.0,32.0,0.0,0.0,8,0,52,1,50,28,13.0,1107.0,434.0,34.0,0.06,2,0
1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33.0,33.1,0.0,0.0,5,1,25,0,4,68,62.0,1284.0,84.0,14.0,0.18,0,2
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21.0,27.4,0.0,0.0,12,3,37,0,14,42,17.0,1535.0,257.0,26.0,0.18,0,1
3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28.0,32.8,0.0,1.0,9,0,69,1,37,55,11.0,1341.0,358.0,39.0,0.21,2,0
4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21.0,0.5,0.0,0.0,0,0,0,0,1,0,0.0,3.0,8.0,0.0,0.0,0,0
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22.0,8.1,0.0,0.0,3,0,11,15,3,4,19.0,84.0,114.0,7.0,0.5,1,0
6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18.0,1.1,0.0,0.0,0,0,1,0,0,0,0.0,7.0,12.0,3.0,0.0,0,0
7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23.0,34.3,2.0,3.0,9,0,49,17,16,5,78.0,485.0,488.0,38.0,1.02,4,14
8,Luis Abram,pe PER,DF,Granada,es La Liga,25.0,6.2,0.0,0.0,2,0,4,0,0,5,7.0,191.0,5.0,0.0,0.0,0,0
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33.0,28.2,0.0,1.0,2,1,16,4,3,34,69.0,1837.0,59.0,4.0,0.25,0,4
10,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23.0,2.9,0.0,0.0,0,0,8,6,6,0,18.0,37.0,62.0,6.0,0.69,1,0
11,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19.0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,6.0,2.0,0.0,0.0,0,0
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29.0,25.1,0.0,0.0,10,0,48,0,178,14,22.0,1543.0,610.0,44.0,0.2,3,1
13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25.0,22.7,1.0,0.0,0,0,40,7,8,8,62.0,304.0,341.0,20.0,1.06,3,7
14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22.0,15.0,0.0,0.0,5,0,15,0,2,16,20.0,794.0,150.0,13.0,0.0,1,0
15,Sargis Adamyan,am ARM,MFFW,Hoffenheim,de Bundesliga,28.0,3.7,0.0,0.0,0,0,8,4,5,1,3.0,73.0,64.0,6.0,0.54,0,1
16,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17.0,3.9,0.0,0.0,1,0,2,0,11,11,3.0,107.0,64.0,6.0,0.26,0,0
17,Amine Adli,fr FRA,MFFW,Leverkusen,de Bundesliga,21.0,14.0,0.0,0.0,3,0,28,8,21,11,12.0,376.0,278.0,21.0,1.36,2,3
18,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21.0,25.1,1.0,1.0,5,0,27,4,114,37,12.0,906.0,485.0,46.0,0.6,7,1
19,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24.0,4.9,0.0,0.0,1,0,4,0,7,6,5.0,205.0,55.0,1.0,0.41,0,0
20,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18.0,7.4,1.0,0.0,5,1,24,4,8,3,11.0,114.0,170.0,5.0,0.94,0,2
21,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,25.0,18.0,1.0,0.0,4,0,22,1,45,25,31.0,547.0,226.0,14.0,0.0,1,0
22,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20.0,4.0,0.0,0.0,0,0,0,0,0,0,0.0,62.0,0.0,0.0,0.0,0,0
23,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19.0,20.8,0.0,0.0,6,0,14,0,5,52,26.0,836.0,204.0,22.0,0.05,0,0
24,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22.0,13.7,0.0,0.0,2,1,24,0,22,8,15.0,280.0,263.0,28.0,0.8,1,3
25,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25.0,30.4,0.0,1.0,3,1,16,1,1,24,95.0,1959.0,59.0,5.0,0.23,2,2
26,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33.0,1.7,0.0,0.0,0,0,2,1,3,0,3.0,30.0,31.0,1.0,0.6,0,1
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28.0,23.8,0.0,0.0,4,0,29,1,64,44,33.0,1435.0,478.0,5.0,0.08,2,0
28,Álvaro Aguirre,es ESP,MF,Rayo Vallecano,es La Liga,21.0,0.1,0.0,0.0,0,0,0,0,0,0,0.0,3.0,1.0,0.0,0.0,0,0
29,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,de Bundesliga,19.0,0.7,0.0,0.0,0,0,1,0,0,0,1.0,28.0,6.0,0.0,0.0,0,0
30,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22.0,15.0,0.0,0.0,6,0,10,0,6,22,18.0,766.0,60.0,1.0,0.27,1,0
31,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27.0,11.2,0.0,0.0,2,0,20,0,6,19,14.0,339.0,145.0,11.0,0.18,1,1
32,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25.0,29.3,0.0,0.0,1,0,18,1,3,38,62.0,1270.0,48.0,9.0,0.03,0,0
33,Ola Aina,ng NGA,DF,Torino,it Serie A,24.0,16.0,0.0,0.0,4,0,28,1,34,28,17.0,535.0,285.0,18.0,0.25,0,0
34,Rayan Aït Nouri,fr FRA,DFMF,Wolves,eng Premier League,20.0,20.3,0.0,1.0,4,0,20,3,96,22,17.0,763.0,391.0,42.0,0.2,2,1
35,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23.0,22.2,2.0,1.0,5,0,16,0,17,26,49.0,627.0,178.0,13.0,0.05,3,1
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27.0,30.4,0.0,2.0,5,1,36,14,17,8,127.0,653.0,486.0,14.0,0.79,8,9
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26.0,25.1,0.0,0.0,3,0,24,1,3,35,51.0,1819.0,64.0,8.0,0.12,0,1
38,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28.0,20.5,0.0,0.0,4,0,25,2,45,51,37.0,611.0,234.0,12.0,0.05,0,0
39,Marley Aké,fr FRA,FWMF,Juventus,it Serie A,20.0,0.9,0.0,0.0,1,0,2,0,1,1,1.0,12.0,8.0,0.0,0.0,0,0
40,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26.0,10.3,0.0,0.0,0,0,2,0,1,8,37.0,796.0,103.0,0.0,0.2,0,2
41,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17.0,1.4,0.0,0.0,0,0,4,0,6,0,1.0,45.0,45.0,1.0,1.45,0,0
42,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19.0,0.6,0.0,0.0,1,0,1,1,1,0,1.0,20.0,19.0,0.0,1.67,0,0
43,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23.0,5.7,0.0,0.0,2,1,2,0,1,11,6.0,284.0,46.0,6.0,0.0,0,0
44,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28.0,3.5,0.0,0.0,1,0,8,0,0,2,4.0,89.0,37.0,6.0,0.0,0,0
45,Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,de Bundesliga,26.0,17.0,0.0,0.0,5,0,23,4,31,20,17.0,691.0,248.0,21.0,0.24,2,2
46,David Alaba,at AUT,DF,Real Madrid,es La Liga,29.0,29.4,0.0,0.0,2,0,6,2,40,22,14.0,1788.0,281.0,4.0,0.24,3,2
47,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23.0,1.8,0.0,0.0,1,0,7,0,2,1,0.0,83.0,29.0,2.0,0.0,0,0
48,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22.0,15.8,0.0,0.0,5,0,9,1,64,30,15.0,398.0,164.0,4.0,0.13,1,0
49,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28.0,7.3,1.0,0.0,2,0,8,7,1,1,19.0,115.0,134.0,12.0,1.79,0,6
50,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32.0,29.4,0.0,0.0,11,0,19,11,121,33,13.0,2334.0,896.0,6.0,0.2,10,2
51,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29.0,0.2,0.0,0.0,0,0,0,0,0,1,0.0,5.0,1.0,0.0,0.0,0,0
52,Luis Alberto,es ESP,MF,Lazio,it Serie A,28.0,26.1,1.0,0.0,5,0,26,1,143,13,6.0,1626.0,714.0,27.0,0.61,9,5
53,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35.0,27.4,0.0,0.0,8,0,12,2,3,21,41.0,1339.0,38.0,3.0,0.04,0,0
54,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,31.0,12.6,0.0,0.0,3,0,13,2,78,14,4.0,347.0,228.0,15.0,0.08,2,1
55,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27.0,8.7,1.0,0.0,1,0,7,8,1,6,10.0,123.0,133.0,5.0,0.8,3,1
56,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30.0,17.0,0.0,0.0,2,0,13,0,4,26,31.0,1340.0,357.0,20.0,0.35,4,1
57,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30.0,12.3,0.0,0.0,7,0,35,1,23,13,22.0,556.0,154.0,11.0,0.49,0,2
58,Omar Alderete,py PAR,DF,Valencia,es La Liga,24.0,26.7,0.0,0.0,15,0,7,0,4,35,69.0,580.0,56.0,13.0,0.19,0,2
59,Iván Alejo,es ESP,MF,Cádiz,es La Liga,26.0,11.8,1.0,0.0,7,0,33,5,97,8,11.0,193.0,231.0,15.0,0.34,2,2
60,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18.0,12.0,0.0,0.0,1,0,0,0,0,0,1.0,287.0,0.0,0.0,0.0,0,0
61,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23.0,25.8,0.0,0.0,6,1,37,1,44,15,13.0,683.0,332.0,17.0,0.54,2,1
62,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22.0,31.7,0.0,0.0,2,0,7,11,273,43,15.0,2039.0,1049.0,19.0,0.47,12,2
63,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21.0,0.2,0.0,0.0,0,0,0,0,2,0,0.0,12.0,3.0,2.0,0.0,0,0
64,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17.0,20.4,0.0,1.0,6,2,44,10,23,8,15.0,220.0,312.0,25.0,0.73,1,4
65,Alisson,br BRA,GK,Liverpool,eng Premier League,28.0,36.0,0.0,0.0,0,0,2,0,0,0,15.0,1214.0,0.0,1.0,0.0,1,0
66,Allan,br BRA,MF,Everton,eng Premier League,30.0,24.3,1.0,1.0,7,1,22,0,10,23,11.0,778.0,189.0,21.0,0.12,2,0
67,Jim Allevinah,ga GAB,MFFW,Clermont Foot,fr Ligue 1,26.0,16.5,0.0,0.0,1,0,34,2,34,6,16.0,416.0,321.0,32.0,0.91,2,1
68,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.27,0,0
69,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.27,0,0
70,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.0,0,0
71,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.0,0,0
72,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.27,0,0
73,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.27,0,0
74,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.0,0,0
75,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.0,0,0
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.27,0,0
77,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.27,0,0
78,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.0,0,0
79,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.0,0,0
80,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.27,0,0
81,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.27,0,0
82,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.0,0,0
83,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.0,0,0
84,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.27,0,0
85,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.27,0,0
86,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.0,0,0
87,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.0,0,0
88,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.27,0,0
89,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.27,0,0
90,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.0,0,0
91,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.0,0,0
92,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.27,0,0
93,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.27,0,0
94,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.0,0,0
95,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.0,0,0
96,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.27,0,0
97,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.27,0,0
98,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.0,0,0
99,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.0,0,0
100,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,81.0,12.0,0.27,0,0
101,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,81.0,12.0,0.27,0,0
102,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,81.0,12.0,0.0,0,0
103,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,81.0,12.0,0.0,0,0
104,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,69.0,5.0,0.27,0,0
105,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,69.0,5.0,0.27,0,0
106,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,69.0,5.0,0.0,0,0
107,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,69.0,5.0,0.0,0,0
108,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,81.0,12.0,0.27,0,0
109,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,81.0,12.0,0.27,0,0
110,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,81.0,12.0,0.0,0,0
111,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,81.0,12.0,0.0,0,0
112,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,69.0,5.0,0.27,0,0
113,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,69.0,5.0,0.27,0,0
114,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,69.0,5.0,0.0,0,0
115,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,177.0,69.0,5.0,0.0,0,0
116,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,81.0,12.0,0.27,0,0
117,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,81.0,12.0,0.27,0,0
118,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,81.0,12.0,0.0,0,0
119,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,81.0,12.0,0.0,0,0
120,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,69.0,5.0,0.27,0,0
121,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,69.0,5.0,0.27,0,0
122,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,69.0,5.0,0.0,0,0
123,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,69.0,5.0,0.0,0,0
124,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,81.0,12.0,0.27,0,0
125,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,81.0,12.0,0.27,0,0
126,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,81.0,12.0,0.0,0,0
127,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,81.0,12.0,0.0,0,0
128,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,69.0,5.0,0.27,0,0
129,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,69.0,5.0,0.27,0,0
130,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,69.0,5.0,0.0,0,0
131,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25.0,7.3,0.0,1.0,3,0,7,2,1,6,9.0,114.0,69.0,5.0,0.0,0,0
132,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.27,0,0
133,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.27,0,0
134,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.0,0,0
135,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.0,0,0
136,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.27,0,0
137,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.27,0,0
138,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.0,0,0
139,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.0,0,0
140,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.27,0,0
141,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.27,0,0
142,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.0,0,0
143,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,81.0,12.0,0.0,0,0
144,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.27,0,0
145,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.27,0,0
146,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.0,0,0
147,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,177.0,69.0,5.0,0.0,0,0
148,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.27,0,0
149,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.27,0,0
150,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.0,0,0
151,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.0,0,0
152,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.27,0,0
153,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.27,0,0
154,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.0,0,0
155,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.0,0,0
156,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.27,0,0
157,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.27,0,0
158,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.0,0,0
159,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,81.0,12.0,0.0,0,0
160,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.27,0,0
161,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.27,0,0
162,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.0,0,0
163,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,1,0,11,2,5,6,7.0,114.0,69.0,5.0,0.0,0,0
164,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25.0,3.8,0.0,0.0,3,0,7,2,1,6,9.0,177.0,81.0,12.0,0.27,0,0
