,Player,SCA,PassLive,PassDead,Drib,Sh_x,Fld_x,Def,GCA,CrdY_x,CrdR_x,2CrdY,Fls,Off_x,Crs_x,Int,TklW,Recov,Won,Dead,Str,TotDist,Ast_x,CrsPA,Touches,Succ,Att,Dis,SoT,Dist,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,G-PK,G+A-PK,Matches
20843,Rúben Vezo,18.0,12.0,0.0,0.0,4.0,1.0,1.0,3.0,4,0,0,35,0,6,36,29,142.0,52.0,72.0,0.0,22083.0,0,0.0,1549.0,5.0,8.0,5.0,4,13.4,pt POR,DF,Levante,es La Liga,27.0,32,27,2420,26.9,0,0.0,Matches
20844,Guglielmo Vicario,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,1,1,50.0,12.0,348.0,0.0,25736.0,0,0.0,1454.0,0.0,0.0,0.0,0,,it ITA,GK,Empoli,it Serie A,24.0,38,38,3420,38.0,0,0.0,Matches
20845,Aleix Vidal,59.0,41.0,7.0,5.0,0.0,4.0,2.0,3.0,10,0,0,24,1,52,25,25,127.0,10.0,178.0,0.0,14118.0,0,9.0,1279.0,12.0,32.0,15.0,3,18.4,es ESP,DFMF,Espanyol,es La Liga,31.0,31,21,1901,21.1,2,0.09,Matches
20846,Arturo Vidal,34.0,27.0,0.0,2.0,3.0,1.0,1.0,5.0,3,0,0,17,1,4,7,10,68.0,10.0,12.0,0.0,8112.0,1,2.0,671.0,6.0,8.0,5.0,8,17.2,cl CHI,MF,Inter,it Serie A,34.0,28,2,741,8.2,1,0.24,Matches
20847,Nacho Vidal,66.0,46.0,5.0,5.0,2.0,6.0,2.0,5.0,9,0,0,48,3,71,58,47,170.0,69.0,365.0,0.0,18449.0,1,9.0,1892.0,23.0,48.0,9.0,1,19.3,es ESP,DF,Osasuna,es La Liga,26.0,35,33,2902,32.2,0,0.03,Matches
20848,Gabriel Vidovic,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4.0,0.0,1.0,0.0,220.0,0,0.0,22.0,3.0,4.0,2.0,0,,hr CRO,MF,Bayern Munich,de Bundesliga,17.0,3,0,36,0.4,0,0.0,Matches
20849,Ronaldo Vieira,,,,,,,,,3,0,0,11,0,1,5,6,,,,,,0,,,,,,0,,gw GNB,MF,Sampdoria,it Serie A,23.0,14,4,495,5.5,0,0.0,Matches
20850,Nick Viergever,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,14,0,1,37,23,133.0,24.0,96.0,0.0,17424.0,0,0.0,1347.0,1.0,1.0,7.0,1,5.7,nl NED,DF,Greuther Fürth,de Bundesliga,31.0,24,24,2133,23.7,0,0.0,Matches
20851,Luca Vignali,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,1,1,6.0,1.0,9.0,0.0,728.0,0,0.0,55.0,0.0,1.0,0.0,0,,it ITA,DFMF,Spezia,it Serie A,25.0,2,1,85,0.9,0,0.0,Matches
20852,Emanuel Vignato,28.0,23.0,2.0,2.0,1.0,0.0,0.0,2.0,2,0,0,5,0,12,2,7,40.0,6.0,28.0,0.0,5179.0,1,2.0,456.0,12.0,14.0,9.0,1,22.7,it ITA,MFDF,Bologna,it Serie A,20.0,24,3,594,6.6,0,0.15,Matches
20853,Dídac Vilà,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0,0,7,0,2,3,5,8.0,3.0,17.0,0.0,1049.0,0,0.0,114.0,1.0,1.0,0.0,0,,es ESP,DFMF,Espanyol,es La Liga,32.0,9,1,203,2.3,0,0.0,Matches
20854,Tonny Vilhena,19.0,12.0,5.0,0.0,1.0,1.0,0.0,1.0,4,0,0,16,2,32,8,6,36.0,9.0,25.0,0.0,3312.0,1,3.0,449.0,12.0,17.0,12.0,3,21.1,nl NED,MFFW,Espanyol,es La Liga,26.0,17,13,928,10.3,1,0.19,Matches
20855,Daniel Villahermosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73.0,0,0.0,9.0,1.0,1.0,1.0,0,,es ESP,MF,Espanyol,es La Liga,20.0,1,0,23,0.3,0,0.0,Matches
20856,Asier Villalibre,9.0,4.0,0.0,1.0,1.0,3.0,0.0,1.0,0,0,0,10,3,4,1,3,18.0,19.0,3.0,0.0,803.0,0,0.0,182.0,4.0,5.0,14.0,6,12.3,es ESP,FW,Athletic Club,es La Liga,23.0,19,3,548,6.1,2,0.33,Matches
20857,Gonzalo Villar,9.0,5.0,0.0,2.0,1.0,1.0,0.0,1.0,0,0,0,9,0,1,1,3,18.0,3.0,7.0,0.0,2158.0,1,0.0,179.0,8.0,8.0,4.0,2,20.4,es ESP,MF,Getafe,es La Liga,23.0,10,2,298,3.3,0,0.3,Matches
20858,Matías Viña,37.0,26.0,3.0,4.0,1.0,2.0,1.0,2.0,2,0,0,9,2,35,25,30,100.0,17.0,164.0,0.0,10442.0,1,6.0,1032.0,14.0,29.0,6.0,3,17.9,uy URU,DFFW,Roma,it Serie A,23.0,26,18,1565,17.4,0,0.06,Matches
