,Player,SCA,PassLive,PassDead,Drib,Sh_x,Fld_x,Def,GCA,CrdY_x,CrdR_x,2CrdY,Fls,Off_x,Crs_x,Int,TklW,Recov,Won,Dead,Str,TotDist,Ast_x,CrsPA,Touches,Succ,Att,Dis,SoT,Dist,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,G-PK,G+A-PK,Matches
0,Max Aarons,47.0,34.0,3.0,2.0,3.0,3.0,2.0,3.0,8,0,0,27,1,50,28,44,154.0,13.0,332.0,0.0,16588.0,2,9.0,1817.0,34.0,68.0,23.0,2,19.9,eng ENG,DF,Norwich City,eng Premier League,21.0,34,32,2881,32.0,0,0.06,Matches
1,Yunis Abdelhamid,25.0,16.0,0.0,2.0,1.0,0.0,6.0,1.0,5,1,0,39,0,4,68,27,195.0,62.0,101.0,0.0,25516.0,0,0.0,1906.0,14.0,18.0,13.0,6,18.3,ma MAR,DF,Reims,fr Ligue 1,33.0,34,34,2983,33.1,2,0.06,Matches
2,Salis Abdul Samed,53.0,41.0,0.0,0.0,4.0,4.0,4.0,4.0,12,3,2,43,0,14,42,23,186.0,17.0,21.0,0.0,25518.0,0,1.0,1943.0,26.0,41.0,30.0,5,21.5,gh GHA,MF,Clermont Foot,fr Ligue 1,21.0,31,29,2462,27.4,1,0.04,Matches
3,Laurent Abergel,82.0,65.0,2.0,3.0,1.0,7.0,4.0,9.0,9,0,0,41,1,37,55,60,264.0,11.0,35.0,0.0,23753.0,2,9.0,2020.0,39.0,61.0,40.0,7,24.2,fr FRA,MF,Lorient,fr Ligue 1,28.0,34,34,2956,32.8,0,0.06,Matches
4,Charles Abi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0,46.0,0,0.0,12.0,0.0,0.0,0.0,0,,fr FRA,FW,Saint-Étienne,fr Ligue 1,21.0,1,1,45,0.5,0,0.0,Matches
5,Dickson Abiama,15.0,10.0,0.0,0.0,2.0,2.0,1.0,2.0,3,0,0,17,15,3,4,7,28.0,19.0,6.0,0.0,1009.0,1,0.0,243.0,7.0,20.0,10.0,4,16.7,ng NGA,FW,Greuther Fürth,de Bundesliga,22.0,24,5,726,8.1,0,0.12,Matches
6,Matthis Abline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,72.0,0,0.0,18.0,3.0,6.0,3.0,0,9.5,fr FRA,FW,Rennes,fr Ligue 1,18.0,7,1,103,1.1,0,0.0,Matches
7,Tammy Abraham,94.0,62.0,1.0,6.0,17.0,7.0,1.0,14.0,9,0,0,38,17,16,5,13,68.0,78.0,67.0,0.0,6820.0,4,3.0,1050.0,38.0,77.0,41.0,35,12.9,eng ENG,FW,Roma,it Serie A,23.0,37,36,3084,34.3,14,0.53,Matches
8,Luis Abram,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2,0,0,5,0,0,5,3,14.0,7.0,9.0,0.0,3666.0,0,0.0,285.0,0.0,0.0,0.0,0,9.0,pe PER,DF,Granada,es La Liga,25.0,8,6,560,6.2,0,0.0,Matches
9,Francesco Acerbi,19.0,13.0,1.0,0.0,1.0,2.0,2.0,2.0,2,1,0,18,4,3,34,12,162.0,69.0,87.0,0.0,34996.0,0,0.0,2289.0,4.0,6.0,4.0,7,10.8,it ITA,DF,Lazio,it Serie A,33.0,30,29,2536,28.2,4,0.14,Matches
10,Ragnar Ache,7.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0,0,0,5,6,6,0,0,7.0,18.0,2.0,0.0,481.0,1,2.0,113.0,6.0,11.0,9.0,2,16.1,de GER,MFFW,Eint Frankfurt,de Bundesliga,23.0,13,1,259,2.9,0,0.35,Matches
11,Mohamed Achi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,102.0,0,0.0,9.0,0.0,0.0,0.0,0,,fr FRA,MF,Nantes,fr Ligue 1,19.0,1,0,10,0.1,0,0.0,Matches
12,Marcos Acuña,75.0,48.0,19.0,2.0,3.0,3.0,0.0,3.0,10,0,0,38,0,178,14,29,173.0,22.0,333.0,0.0,29328.0,3,27.0,2169.0,44.0,66.0,27.0,5,21.7,ar ARG,DF,Sevilla,es La Liga,29.0,31,26,2260,25.1,1,0.16,Matches
13,Che Adams,51.0,31.0,0.0,2.0,4.0,11.0,3.0,5.0,0,0,0,29,7,8,8,6,70.0,62.0,2.0,0.0,4188.0,3,0.0,713.0,20.0,35.0,34.0,24,13.3,sct SCO,FW,Southampton,eng Premier League,25.0,30,23,2039,22.7,7,0.44,Matches
14,Tyler Adams,26.0,23.0,1.0,1.0,1.0,0.0,0.0,4.0,5,0,0,19,0,2,16,7,85.0,20.0,32.0,0.0,11903.0,1,0.0,1061.0,13.0,23.0,9.0,0,21.6,us USA,MF,RB Leipzig,de Bundesliga,22.0,24,12,1351,15.0,0,0.07,Matches
15,Sargis Adamyan,11.0,8.0,0.0,2.0,0.0,0.0,1.0,1.0,0,0,0,5,4,5,1,6,24.0,3.0,5.0,0.0,991.0,0,2.0,146.0,6.0,12.0,5.0,2,17.2,am ARM,MFFW,Hoffenheim,de Bundesliga,28.0,13,2,331,3.7,1,0.27,Matches
16,Martin Adeline,10.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,16,0,11,11,11,35.0,3.0,8.0,0.0,1681.0,0,0.0,194.0,6.0,9.0,6.0,1,11.8,fr FRA,MFFW,Reims,fr Ligue 1,17.0,8,2,352,3.9,0,0.0,Matches
17,Amine Adli,47.0,37.0,1.0,3.0,4.0,2.0,0.0,6.0,3,0,0,27,8,21,11,14,62.0,12.0,17.0,0.0,5007.0,2,4.0,722.0,21.0,37.0,18.0,19,15.1,fr FRA,MFFW,Leverkusen,de Bundesliga,21.0,25,13,1256,14.0,3,0.36,Matches
18,Yacine Adli,120.0,80.0,22.0,6.0,3.0,5.0,4.0,18.0,5,0,0,21,4,114,37,27,150.0,12.0,138.0,1.0,17505.0,7,4.0,1519.0,46.0,80.0,47.0,15,21.2,fr FRA,MFFW,Bordeaux,fr Ligue 1,21.0,36,25,2260,25.1,1,0.32,Matches
19,Michel Aebischer,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,13,0,7,6,5,27.0,5.0,13.0,0.0,3121.0,0,1.0,285.0,1.0,4.0,5.0,2,22.7,ch SUI,MF,Bologna,it Serie A,24.0,12,4,443,4.9,0,0.0,Matches
20,Felix Afena-Gyan,23.0,14.0,0.0,2.0,2.0,5.0,0.0,2.0,5,1,1,15,4,8,3,3,31.0,11.0,7.0,0.0,1530.0,0,1.0,271.0,5.0,20.0,21.0,7,16.1,gh GHA,FWMF,Roma,it Serie A,18.0,17,6,668,7.4,2,0.27,Matches
21,Martin Agirregabiria,33.0,25.0,3.0,2.0,0.0,2.0,1.0,3.0,4,0,0,24,1,45,25,22,79.0,31.0,179.0,0.0,9008.0,1,12.0,950.0,14.0,19.0,8.0,0,19.1,es ESP,DFMF,Alavés,es La Liga,25.0,24,17,1616,18.0,0,0.06,Matches
22,Julen Agirrezabala,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6.0,0.0,33.0,0.0,1721.0,0,0.0,92.0,0.0,0.0,0.0,0,,es ESP,GK,Athletic Club,es La Liga,20.0,4,4,360,4.0,0,0.0,Matches
23,Lucien Agoume,35.0,28.0,1.0,1.0,4.0,1.0,0.0,2.0,6,0,0,31,0,5,52,31,149.0,26.0,38.0,0.0,15009.0,0,0.0,1206.0,22.0,32.0,17.0,1,11.9,fr FRA,MF,Brest,fr Ligue 1,19.0,27,21,1868,20.8,0,0.0,Matches
24,Kevin Agudelo,40.0,22.0,0.0,6.0,4.0,4.0,4.0,3.0,2,1,0,36,0,22,8,26,67.0,15.0,11.0,0.0,3788.0,1,1.0,574.0,28.0,51.0,37.0,11,17.2,co COL,MFFW,Spezia,it Serie A,22.0,23,12,1237,13.7,3,0.29,Matches
25,Nayef Aguerd,15.0,10.0,0.0,0.0,4.0,1.0,0.0,4.0,3,1,0,20,1,1,24,18,154.0,95.0,74.0,0.0,40414.0,2,0.0,2471.0,5.0,6.0,4.0,7,9.4,ma MAR,DF,Rennes,fr Ligue 1,25.0,31,31,2735,30.4,2,0.13,Matches
26,Sergio Agüero,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,3,0,1,3.0,3.0,2.0,0.0,396.0,0,0.0,57.0,1.0,2.0,1.0,1,12.0,ar ARG,FW,Barcelona,es La Liga,33.0,4,2,151,1.7,1,0.6,Matches
27,Ruben Aguilar,31.0,23.0,1.0,1.0,1.0,2.0,3.0,3.0,4,0,0,32,1,64,44,53,157.0,33.0,277.0,0.0,23194.0,2,5.0,1975.0,5.0,11.0,5.0,2,22.8,fr FRA,DF,Monaco,fr Ligue 1,28.0,28,22,2140,23.8,0,0.08,Matches
28,Álvaro Aguirre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,0.0,1.0,0.0,35.0,0,0.0,4.0,0.0,0.0,0.0,0,,es ESP,MF,Rayo Vallecano,es La Liga,21.0,1,0,9,0.1,0,0.0,Matches
29,Naouirou Ahamada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,4.0,1.0,0.0,0.0,501.0,0,0.0,38.0,0.0,0.0,0.0,0,,fr FRA,MFDF,Stuttgart,de Bundesliga,19.0,3,0,61,0.7,0,0.0,Matches
30,Anel Ahmedhodzic,21.0,16.0,1.0,0.0,2.0,0.0,2.0,2.0,6,0,0,21,0,6,22,26,108.0,18.0,31.0,0.0,14146.0,1,1.0,1006.0,1.0,4.0,5.0,4,16.0,ba BIH,DF,Bordeaux,fr Ligue 1,22.0,15,15,1350,15.0,0,0.07,Matches
31,Jean-Eudes Aholou,24.0,19.0,0.0,1.0,1.0,1.0,2.0,3.0,2,0,0,21,0,6,19,9,77.0,14.0,8.0,0.0,5149.0,1,1.0,536.0,11.0,23.0,10.0,2,21.2,ci CIV,MF,Strasbourg,fr Ligue 1,27.0,25,11,1004,11.2,1,0.18,Matches
32,Joseph Aidoo,18.0,14.0,0.0,0.0,1.0,0.0,3.0,3.0,1,0,0,10,1,3,38,26,164.0,62.0,32.0,0.0,26020.0,0,1.0,1827.0,9.0,11.0,6.0,1,13.3,gh GHA,DF,Celta Vigo,es La Liga,25.0,32,30,2637,29.3,0,0.0,Matches
33,Ola Aina,38.0,29.0,2.0,3.0,0.0,3.0,1.0,1.0,4,0,0,18,1,34,28,19,101.0,17.0,151.0,0.0,8693.0,0,4.0,931.0,18.0,40.0,10.0,4,23.6,ng NGA,DF,Torino,it Serie A,24.0,21,17,1437,16.0,0,0.0,Matches
34,Rayan Aït Nouri,47.0,30.0,8.0,4.0,0.0,2.0,3.0,6.0,4,0,0,14,3,96,22,36,128.0,17.0,211.0,0.0,12151.0,2,10.0,1277.0,42.0,81.0,27.0,4,17.6,fr FRA,DFMF,Wolves,eng Premier League,20.0,23,20,1828,20.3,1,0.15,Matches
35,Kristoffer Ajer,33.0,21.0,6.0,2.0,1.0,1.0,2.0,6.0,5,0,0,12,0,17,26,18,109.0,49.0,154.0,0.0,10133.0,3,2.0,1089.0,13.0,18.0,7.0,1,8.8,no NOR,DF,Brentford,eng Premier League,23.0,24,23,1995,22.2,1,0.18,Matches
36,Ludovic Ajorque,83.0,62.0,0.0,2.0,9.0,9.0,1.0,10.0,5,1,0,40,14,17,8,25,86.0,127.0,24.0,0.0,9171.0,8,4.0,1219.0,14.0,27.0,36.0,24,13.5,re REU,FW,Strasbourg,fr Ligue 1,27.0,36,31,2738,30.4,9,0.56,Matches
37,Manuel Akanji,16.0,11.0,2.0,1.0,1.0,0.0,1.0,1.0,3,0,0,19,1,3,35,23,164.0,51.0,66.0,0.0,36320.0,0,0.0,2191.0,8.0,9.0,1.0,3,11.2,ch SUI,DF,Dortmund,de Bundesliga,26.0,26,25,2261,25.1,1,0.04,Matches
38,Carlos Akapo,25.0,16.0,4.0,1.0,1.0,3.0,0.0,1.0,4,0,0,23,2,45,51,31,112.0,37.0,158.0,0.0,10222.0,0,11.0,1078.0,12.0,21.0,9.0,1,19.8,gq EQG,DF,Cádiz,es La Liga,28.0,25,21,1844,20.5,0,0.0,Matches
39,Marley Aké,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,6,0,1,1,0,3.0,1.0,0.0,0.0,184.0,0,1.0,23.0,0.0,2.0,1.0,0,,fr FRA,FWMF,Juventus,it Serie A,20.0,4,0,77,0.9,0,0.0,Matches
40,Nathan Aké,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,1,8,9,43.0,37.0,41.0,0.0,13200.0,0,0.0,953.0,0.0,2.0,3.0,2,7.3,nl NED,DF,Manchester City,eng Premier League,26.0,14,10,923,10.3,2,0.2,Matches
41,Ilias Akhomach,9.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0,0,0,3,0,6,0,0,11.0,1.0,0.0,0.0,581.0,0,2.0,74.0,1.0,3.0,1.0,2,19.0,es ESP,FW,Barcelona,es La Liga,17.0,2,2,124,1.4,0,0.0,Matches
42,Maghnes Akliouche,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,4,1,1,0,0,2.0,1.0,0.0,0.0,254.0,0,0.0,34.0,0.0,1.0,1.0,1,16.0,fr FRA,MFFW,Monaco,fr Ligue 1,19.0,7,0,54,0.6,0,0.0,Matches
43,Paul Akouokou,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,13,0,1,11,9,42.0,6.0,4.0,0.0,4724.0,0,1.0,375.0,6.0,8.0,5.0,0,22.8,ci CIV,MF,Betis,es La Liga,23.0,8,6,516,5.7,0,0.0,Matches
44,Jean-Daniel Akpa-Akpro,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,13,0,0,2,10,13.0,4.0,0.0,0.0,1077.0,0,0.0,165.0,6.0,10.0,4.0,0,18.6,ci CIV,MF,Lazio,it Serie A,28.0,10,4,315,3.5,0,0.0,Matches
45,Kevin Akpoguma,33.0,22.0,1.0,3.0,3.0,2.0,2.0,2.0,5,0,0,25,4,31,20,19,100.0,17.0,172.0,0.0,11479.0,2,2.0,1116.0,21.0,47.0,9.0,4,12.8,ng NGA,DFFW,Hoffenheim,de Bundesliga,26.0,26,19,1527,17.0,2,0.24,Matches
46,David Alaba,46.0,37.0,2.0,0.0,4.0,0.0,3.0,8.0,2,0,0,16,2,40,22,13,141.0,14.0,74.0,0.0,29585.0,3,3.0,2180.0,4.0,10.0,3.0,7,21.8,at AUT,DF,Real Madrid,es La Liga,29.0,30,30,2642,29.4,2,0.17,Matches
47,Sofiane Alakouch,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0,0,5,0,2,1,4,6.0,0.0,13.0,0.0,1154.0,0,0.0,126.0,2.0,4.0,2.0,0,27.4,ma MAR,DFMF,Metz,fr Ligue 1,23.0,4,0,158,1.8,0,0.0,Matches
48,Tomás Alarcón,29.0,14.0,12.0,1.0,0.0,0.0,2.0,2.0,5,0,0,19,1,64,30,20,107.0,15.0,65.0,0.0,7977.0,1,4.0,742.0,4.0,8.0,10.0,2,24.1,cl CHI,MF,Cádiz,es La Liga,22.0,23,16,1425,15.8,0,0.06,Matches
49,Lucas Alario,27.0,17.0,0.0,6.0,2.0,2.0,0.0,4.0,2,0,0,8,7,1,1,5,13.0,19.0,12.0,0.0,1392.0,0,0.0,261.0,12.0,14.0,13.0,13,11.7,ar ARG,FW,Leverkusen,de Bundesliga,28.0,27,5,655,7.3,6,0.82,Matches
50,Jordi Alba,89.0,82.0,3.0,0.0,2.0,2.0,0.0,14.0,11,0,0,26,11,121,33,34,214.0,13.0,365.0,0.0,36392.0,10,18.0,2997.0,6.0,22.0,4.0,6,23.2,es ESP,DF,Barcelona,es La Liga,32.0,30,30,2644,29.4,2,0.41,Matches
51,Josué Albert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0.0,0.0,1.0,0.0,62.0,0,0.0,10.0,0.0,0.0,0.0,0,19.3,gf GUF,DF,Clermont Foot,fr Ligue 1,29.0,2,0,22,0.2,0,0.0,Matches
52,Luis Alberto,120.0,83.0,26.0,3.0,3.0,5.0,0.0,16.0,5,0,0,13,1,143,13,17,136.0,6.0,211.0,0.0,25003.0,9,5.0,2163.0,27.0,44.0,23.0,16,21.0,es ESP,MF,Lazio,it Serie A,28.0,34,27,2353,26.1,5,0.54,Matches
53,Raúl Albiol,10.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,8,0,0,18,2,3,21,15,137.0,41.0,57.0,0.0,28053.0,0,0.0,1798.0,3.0,4.0,6.0,1,7.5,es ESP,DF,Villarreal,es La Liga,35.0,28,28,2465,27.4,0,0.0,Matches
54,Marc Albrighton,20.0,12.0,4.0,0.0,0.0,3.0,1.0,3.0,3,0,0,6,2,78,14,19,65.0,4.0,101.0,0.0,5152.0,2,6.0,681.0,15.0,40.0,8.0,1,16.3,eng ENG,MFDF,Leicester City,eng Premier League,31.0,17,11,1132,12.6,1,0.24,Matches
55,Paco Alcácer,16.0,12.0,0.0,1.0,2.0,0.0,1.0,6.0,1,0,0,5,8,1,6,3,28.0,10.0,22.0,0.0,1468.0,3,0.0,250.0,5.0,10.0,7.0,7,13.5,es ESP,FW,Villarreal,es La Liga,27.0,18,10,787,8.7,1,0.46,Matches
56,Thiago Alcántara,66.0,56.0,0.0,1.0,7.0,1.0,1.0,6.0,2,0,0,19,0,4,26,29,126.0,31.0,18.0,0.0,24737.0,4,1.0,1688.0,20.0,32.0,13.0,6,19.3,es ESP,MF,Liverpool,eng Premier League,30.0,25,17,1534,17.0,1,0.29,Matches
57,Rubén Alcaraz,39.0,28.0,5.0,1.0,2.0,3.0,0.0,1.0,7,0,0,30,1,23,13,20,86.0,22.0,43.0,0.0,10541.0,0,3.0,805.0,11.0,17.0,11.0,6,23.1,es ESP,MF,Cádiz,es La Liga,30.0,14,12,1105,12.3,2,0.16,Matches
58,Omar Alderete,17.0,13.0,0.0,1.0,0.0,0.0,3.0,2.0,15,0,0,42,0,4,35,34,158.0,69.0,57.0,0.0,13798.0,0,0.0,1287.0,13.0,14.0,4.0,5,16.7,py PAR,DF,Valencia,es La Liga,24.0,29,28,2403,26.7,2,0.07,Matches
59,Iván Alejo,36.0,31.0,1.0,3.0,1.0,0.0,0.0,4.0,7,0,0,37,5,97,8,15,74.0,11.0,9.0,0.0,3129.0,2,23.0,515.0,15.0,43.0,17.0,4,21.5,es ESP,MF,Cádiz,es La Liga,26.0,20,11,1065,11.8,2,0.34,Matches
60,Doğan Alemdar,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,18.0,1.0,98.0,0.0,7942.0,0,0.0,418.0,0.0,0.0,0.0,0,,tr TUR,GK,Rennes,fr Ligue 1,18.0,12,12,1080,12.0,0,0.0,Matches
61,Carles Aleñá,63.0,49.0,2.0,2.0,4.0,6.0,0.0,4.0,6,1,0,50,1,44,15,19,129.0,13.0,39.0,0.0,11661.0,2,5.0,1089.0,17.0,35.0,32.0,14,24.2,es ESP,MF,Getafe,es La Liga,23.0,33,30,2320,25.8,1,0.12,Matches
62,Trent Alexander-Arnold,161.0,95.0,53.0,3.0,7.0,1.0,2.0,18.0,2,0,0,12,11,273,43,23,235.0,15.0,548.0,0.0,40112.0,12,25.0,3000.0,19.0,39.0,19.0,15,24.0,eng ENG,DF,Liverpool,eng Premier League,22.0,32,32,2853,31.7,2,0.44,Matches
63,Mircea Alexandru Tirlea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,2.0,0.0,7.0,0.0,201.0,0,0.0,17.0,2.0,3.0,0.0,0,,ro ROU,DF,Alavés,es La Liga,21.0,1,0,15,0.2,0,0.0,Matches
64,Mohamed Ali Cho,42.0,23.0,0.0,11.0,2.0,5.0,1.0,7.0,6,2,2,32,10,23,8,5,61.0,15.0,9.0,0.0,2951.0,1,2.0,569.0,25.0,58.0,32.0,15,15.3,fr FRA,FW,Angers,fr Ligue 1,17.0,32,21,1837,20.4,4,0.24,Matches
65,Alisson,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,80.0,15.0,234.0,0.0,28439.0,1,0.0,1470.0,1.0,1.0,0.0,0,,br BRA,GK,Liverpool,eng Premier League,28.0,36,36,3240,36.0,0,0.03,Matches
66,Allan,37.0,34.0,0.0,1.0,0.0,1.0,1.0,7.0,7,1,0,30,0,10,23,44,191.0,11.0,66.0,0.0,12868.0,2,3.0,1255.0,21.0,31.0,24.0,3,24.5,br BRA,MF,Everton,eng Premier League,30.0,28,25,2183,24.3,0,0.08,Matches
67,Jim Allevinah,52.0,31.0,4.0,9.0,6.0,1.0,1.0,3.0,1,0,0,16,2,34,6,13,65.0,16.0,16.0,0.0,6103.0,2,2.0,743.0,32.0,68.0,40.0,15,19.2,ga GAB,MFFW,Clermont Foot,fr Ligue 1,26.0,30,13,1488,16.5,1,0.18,Matches
195,Dele Alli,13.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3,0,0,9,2,1,6,2,24.0,9.0,14.0,0.0,1696.0,0,1.0,222.0,5.0,14.0,6.0,0,19.4,eng ENG,MFFW,Everton,eng Premier League,25.0,11,1,338,3.8,0,0.0,Matches
196,Miguel Almirón,49.0,36.0,0.0,3.0,8.0,2.0,0.0,4.0,2,0,0,17,9,20,20,29,96.0,5.0,8.0,0.0,5720.0,0,0.0,721.0,26.0,39.0,24.0,7,19.6,py PAR,MFFW,Newcastle Utd,eng Premier League,27.0,30,19,1716,19.1,1,0.05,Matches
197,Marcos Alonso,92.0,66.0,16.0,3.0,5.0,2.0,0.0,10.0,8,0,0,25,3,149,43,29,139.0,40.0,293.0,0.0,17781.0,4,15.0,1763.0,15.0,35.0,25.0,10,18.7,es ESP,DF,Chelsea,eng Premier League,30.0,28,25,2167,24.1,4,0.33,Matches
198,Giorgio Altare,27.0,16.0,3.0,1.0,7.0,0.0,0.0,0.0,5,0,0,35,1,27,30,28,126.0,46.0,83.0,0.0,10947.0,0,3.0,993.0,8.0,10.0,3.0,6,13.7,it ITA,DF,Cagliari,it Serie A,22.0,19,17,1466,16.3,1,0.06,Matches
199,Hugo Álvarez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12.0,0,0.0,8.0,0.0,0.0,0.0,0,11.5,es ESP,FW,Celta Vigo,es La Liga,18.0,1,0,11,0.1,0,0.0,Matches
200,Yeray Álvarez,18.0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,23,1,3,45,14,141.0,56.0,51.0,0.0,16426.0,0,0.0,1243.0,2.0,3.0,3.0,0,14.1,es ESP,DF,Athletic Club,es La Liga,26.0,22,21,1860,20.7,0,0.0,Matches
201,Dani Alves,34.0,26.0,7.0,0.0,0.0,1.0,0.0,4.0,2,1,0,27,0,75,11,19,98.0,9.0,159.0,0.0,13852.0,3,15.0,1162.0,12.0,12.0,6.0,2,31.4,br BRA,DF,Barcelona,es La Liga,38.0,14,13,1098,12.2,1,0.33,Matches
202,Steven Alzate,7.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,6,0,0,10,4,39.0,4.0,3.0,0.0,3213.0,0,0.0,289.0,6.0,8.0,3.0,1,16.1,co COL,MF,Brighton,eng Premier League,22.0,9,5,404,4.5,0,0.0,Matches
203,Ibrahim Amadou,10.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,4,0,0,11,0,0,14,8,48.0,7.0,9.0,0.0,7290.0,0,0.0,517.0,6.0,7.0,5.0,2,9.4,fr FRA,DFMF,Metz,fr Ligue 1,28.0,10,10,812,9.0,1,0.11,Matches
204,Emmanuel Amankwaa Akurugu,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,4,0,0,4.0,2.0,8.0,0.0,425.0,1,0.0,48.0,3.0,4.0,0.0,0,22.2,gh GHA,DF,Getafe,es La Liga,19.0,3,1,79,0.9,0,1.14,Matches
205,Daniel Amartey,17.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,0,14,1,0,21,13,145.0,33.0,28.0,0.0,25246.0,0,0.0,1752.0,6.0,7.0,1.0,1,34.1,gh GHA,DF,Leicester City,eng Premier League,26.0,28,23,2123,23.6,0,0.0,Matches
206,Amath,24.0,11.0,1.0,2.0,4.0,4.0,2.0,3.0,5,0,0,19,6,7,7,11,34.0,5.0,5.0,0.0,2044.0,1,1.0,322.0,15.0,31.0,19.0,4,17.3,sn SEN,MFFW,Mallorca,es La Liga,25.0,19,9,884,9.8,0,0.1,Matches
334,Jordan Amavi,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,3,0,2,1,5,3.0,3.0,17.0,0.0,1244.0,0,1.0,100.0,0.0,2.0,3.0,0,,fr FRA,DFFW,Marseille,fr Ligue 1,27.0,2,2,128,1.4,0,0.0,Matches
335,Wisdom Amey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,3,2,4.0,3.0,4.0,0.0,419.0,0,0.0,41.0,0.0,1.0,0.0,0,,it ITA,DF,Bologna,it Serie A,15.0,1,1,71,0.8,0,0.0,Matches
336,Kelvin Amian,34.0,22.0,3.0,3.0,3.0,2.0,1.0,1.0,9,2,1,36,1,24,32,42,105.0,41.0,267.0,0.0,13080.0,1,2.0,1424.0,23.0,37.0,20.0,7,15.1,fr FRA,DF,Spezia,it Serie A,23.0,32,31,2646,29.4,1,0.07,Matches
464,Nadiem Amiri,29.0,23.0,4.0,1.0,0.0,1.0,0.0,1.0,0,0,0,7,1,20,0,4,40.0,3.0,41.0,0.0,3236.0,1,1.0,403.0,12.0,29.0,13.0,6,23.8,de GER,MF,Genoa,it Serie A,24.0,13,9,683,7.6,0,0.13,Matches
465,Ethan Ampadu,41.0,35.0,4.0,1.0,0.0,0.0,1.0,7.0,13,2,1,46,0,20,51,43,157.0,66.0,123.0,0.0,15853.0,3,7.0,1472.0,13.0,17.0,10.0,1,20.2,wls WAL,MFDF,Venezia,it Serie A,20.0,29,26,2282,25.4,0,0.12,Matches
466,Sofyan Amrabat,17.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,6,0,0,25,0,6,5,13,67.0,6.0,31.0,0.0,12507.0,0,1.0,795.0,10.0,12.0,6.0,3,26.6,ma MAR,MF,Fiorentina,it Serie A,24.0,23,8,944,10.5,1,0.1,Matches
467,Joachim Andersen,31.0,28.0,1.0,0.0,1.0,0.0,1.0,4.0,4,0,0,19,1,8,37,23,152.0,56.0,95.0,0.0,44144.0,3,2.0,2614.0,7.0,9.0,8.0,3,15.2,dk DEN,DF,Crystal Palace,eng Premier League,25.0,34,32,2916,32.4,0,0.09,Matches
468,Felipe Anderson,116.0,86.0,3.0,10.0,5.0,9.0,3.0,18.0,2,0,0,43,7,86,20,45,150.0,11.0,90.0,0.0,16073.0,8,13.0,1858.0,58.0,108.0,38.0,16,16.4,br BRA,FW,Lazio,it Serie A,28.0,38,33,2888,32.1,6,0.44,Matches
469,Sebastian Andersson,20.0,16.0,0.0,0.0,1.0,2.0,1.0,4.0,3,0,0,23,5,9,3,7,32.0,53.0,7.0,0.0,1595.0,1,1.0,392.0,6.0,15.0,19.0,12,11.8,se SWE,FW,Köln,de Bundesliga,30.0,26,13,1257,14.0,3,0.29,Matches
